name,smiles
Acetic Acid,CC(=O)O
Benzyl Alcohol,C1=CC=C(C=C1)CO
Betaine,C[N+](C)(C)CC(=O)[O-]
"N,N,N-trimethylglycinium",C[N+](C)(C)CC(=O)O
Carbon Dioxide,C(=O)=O
Citric Acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
6-Aminohexanoic Acid,C(CCC(=O)O)CCN
Lactic Acid,CC(C(=O)O)O
Dimethyl Sulfoxide,CS(=O)C
Dopamine,C1=CC(=C(C=C1CCN)O)O
Ethanol,CCO
Hexachlorocyclohexane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
Glycine,C(C(=O)O)N
Glycerol,C(C(CO)O)O
Hydrogen Peroxide,OO
Hydroquinone,C1=CC(=CC=C1O)O
"2,3-Dihydroxybutanedioic Acid",C(C(C(=O)O)O)(C(=O)O)O
Nicotinamide,C1=CC(=CN=C1)C(=O)N
Nicotinic Acid,C1=CC(=CN=C1)C(=O)O
Nitrogen,N#N
Nitrous Oxide,[N-]=[N+]=O
Water,O
Oxygen,O=O
Phosphoric Acid,OP(=O)(O)O
Pyrazinamide,C1=CN=C(C=N1)C(=O)N
Pyridoxine,CC1=NC=C(C(=C1O)CO)CO
Selenious Acid,O[Se](=O)O
Sterone-ring,C1CCC2C(C1)CCC3C2CCC4C3CCC4
Sulfate Ion,[O-]S(=O)(=O)[O-]
Thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Urea,C(=O)(N)N
DL-methamphetamine,CC(CC1=CC=CC=C1)NC
Menthol,CC1CCC(C(C1)O)C(C)C
4-Aminopyridine,C1=CN=CC=C1N
Phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
"33-((3-Amino-3,6-dideoxyhexopyranosyl)oxy)-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo(33.3.1)nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
Acetohydroxamic Acid,CC(=O)NO
Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
Alendronic Acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
Alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Amantadine,C1C2CC3CC1CC(C2)(C3)N
Diatrizoate,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
Amifostine,C(CN)CNCCSP(=O)(O)O
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
Amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
Amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
Anisindione,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
Azelaic Acid,C(CCCC(=O)O)CCCC(=O)O
Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
Bendroflumethiazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
Benzquinamide,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC
Benzthiazide,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
Benzyl Benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
Penicillins,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
Beta-Propiolactone,C1COC1=O
Betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
